"Name","csuoee__Course_Code__c","hed__Course_ID__c","hed__Account__r.hed__School_Code__c","hed__Description__c","hed__Extended_Description__c","lms_hed__LMS_Reference_Code__c","csuoee__Short_Description__c","csuoee__Banner_Surrogate_ID__c","csuoee__AUCC_Category__c","hed__Credit_Hours__c","csuoee__Credit_Hours_Max__c","csuoee__Guaranteed_Transfer__c","csuoee__Guaranteed_Transfer_Category__c","csuoee__Quality_Matters__c"
"BIOM 533: Biomolecular Tools","BIOM 533","BIOM 533","1301","","","BIOM-533","","3168.0","","0.0","3.0","false","","false"
"BIOM 573: Structure&Functn-Biomaterials","BIOM 573","BIOM 573","1301","","<p>Structure-function relationships of natural biomaterials; application to analysis of biomimetic materials and biomaterials used in medical devices.</p>","BIOM-573","Structure-function relationships of natural biomaterials; application to analysis of biomimetic materials and biomaterials used in medical devices.","117.0","","3.0","","false","","false"
"BIOM 586A: Biomedical Clinical Practicum","BIOM 586A","BIOM 586A","1301","","","BIOM-586A","","118.0","","0.0","2.0","false","","false"
"BIOM 586B: Biomedical Clinical Practicum","BIOM 586B","BIOM 586B","1301","","","BIOM-586B","","119.0","","0.0","4.0","false","","false"
"BIOM 684: Supervised College Teaching","BIOM 684","BIOM 684","1301","","","BIOM-684","","6797.0","","1.0","18.0","false","","false"
"BIOM 695: Independent Study","BIOM 695","BIOM 695","1301","","","BIOM-695","","8024.0","","1.0","18.0","false","","false"
"BIOM 784: Supervised College Teaching","BIOM 784","BIOM 784","1301","","","BIOM-784","","585.0","","1.0","6.0","false","","false"
"BIOM 795: Independent Study","BIOM 795","BIOM 795","1301","","","BIOM-795","","9377.0","","1.0","18.0","false","","false"
"BMS 200: Concepts-Human Anat&Physiology","BMS 200","BMS 200","1680","","<p>Basic concepts in the anatomy and physiology of the human body.</p>","BMS-200","Basic concepts in the anatomy and physiology of the human body.","5927.0","","1.0","","false","","false"
"BMS 260: Biomedical Sciences","BMS 260","BMS 260","1680","","","BMS-260","","7847.0","","0.0","3.0","false","","false"
"BMS 296: Honors–Physiological Concepts","BMS 296","BMS 296","1680","","","BMS-296","","16505.0","","1.0","","false","","false"
"BMS 300: Principles of Human Physiology","BMS 300","BMS 300","1680","","<p>This course is designed to provide a general introduction to human physiology.</p><p>Topics covered include: cells; tissues/skin; skeletal system; endocrine system; nervous system; muscle system; blood; lymphatics; nonspecific immunity; humoral immunity; cellular immunity; cardiovascular system; respiratory system; urinary system; digestion and metabolism; and reproduction.</p><p>For students unfamiliar with CSU course designations, prerequisites listed below are equivalent to a semester of college biology and a semester of college chemistry. More information about course equivalents can be found at <a href=""https://transferology.com"">https://transferology.com</a>.</p>","BMS-300","This course is designed to provide a general introduction to human physiology.

Topics covered include: cells; tissues/skin; skeletal system; endocrine system; nervous system; muscle system; blood; lymphatics; nonspecific immunity; humoral immunity; cellular immunity; cardiovascular system; respiratory system; urinary system; digestion and metabolism; and reproduction.","5929.0","","4.0","","false","","false"
"BMS 301: Human Gross Anatomy","BMS 301","BMS 301","1680","","","BMS-301","","5930.0","","0.0","5.0","false","","false"
"BMS 302: Lab-Principles of Physiology","BMS 302","BMS 302","1680","","","BMS-302","","5931.0","","0.0","2.0","false","","false"
"BMS 305: Domestic Animal Gross Anatomy","BMS 305","BMS 305","1680","","","BMS-305","","5932.0","","0.0","4.0","false","","false"
"BMS 310: Anatomy-Health Professions","BMS 310","BMS 310","1680","","<p>This course is designed to meet the anatomy prerequisite for students who may be applying for admission to health-profession programs. Many students taking this course possess an undergraduate degree and are in the process of making a career change. BMS 310 is a four-month course with a virtual laboratory and emphasizes the concepts that contain the necessary background for courses the student will take in his/her professional studies.</p><p>BMS 310 - Anatomy for the Health Professions includes the same major subject and content areas as traditional human anatomy courses taught on campus. However, all course material is on the web via Canvas or purchased through the CSU bookstore. The lab is accomplished using a human prosection laboratory guide that interfaces with virtual human cadaver software.</p><p>Communication with the instructor will be by both email and phone.</p><p>This course is offered three times per year. Our summer course is 12 weeks and runs May-August. Our fall course is 16 weeks and runs from August to December. Our Spring class is also 16 weeks and runs from January to May.</p><p><a href=""/global/docs/BMS310-lab-intro.pdf"">View a brief description of this online lab</a>.</p>","BMS-310","This course is designed to meet the anatomy prerequisite for students who may be applying for admission to health-profession programs.","3421.0","","0.0","4.0","false","","false"
"BMS 320: Physiology Lab Simulations","BMS 320","BMS 320","1680","","<p>This course is meant to meet the physiology lab prerequisite for off-campus students applying for admission to post-graduate biomedical programs.</p><p>After completing this course, the student will be able to:</p><ul><li>evaluate different types of cell membrane transport mechanisms.</li><li>measure and evaluate factors that alter resting membrane potentials and action potentials.</li><li>explain the effect of increasing stimulus voltages and increasing stimulus frequencies on skeletal muscle contraction.</li><li>evaluate the role of thyroid hormones, insulin, hormone replacement therapy on the body, and the role of ACTH.</li><li>describe factors affecting cardiovascular dynamics, and cardiac muscle function and heart function.</li><li>measure respiratory volumes and calculate capacities and explain the role of surfactant and IP on respiration.</li><li>explain the enzymatic processes involved in digestion of starches, proteins, and fats.</li><li>describe factors that affect glomerular filtration and urine formation.</li><li>describe factors that affect respiratory acidosis and alkalosis and metabolic acidosis and alkalosis.</li><li>describe blood measurement techniques and common immunological lab procedures.</li></ul>","BMS-320","Physiology lab exercises using a virtual labortatory simulation system.","4672.0","","2.0","","false","","false"
"BMS 325: Cellular Neurobiology","BMS 325","BMS 325","1680","","","BMS-325","","5933.0","","3.0","","false","","false"
"BMS 330: Microscopic Anatomy","BMS 330","BMS 330","1680","","","BMS-330","","5935.0","","0.0","4.0","false","","false"
"BMS 345: Functional Neuroanatomy","BMS 345","BMS 345","1680","","","BMS-345","","5936.0","","0.0","4.0","false","","false"
"BMS 384: Supervised College Teaching","BMS 384","BMS 384","1680","","","BMS-384","","5939.0","","1.0","5.0","false","","false"
"BMS 400: Case Studies--Neuroanatomy","BMS 400","BMS 400","1680","","","BMS-400","","3506.0","","1.0","","false","","false"
"BMS 401: Lab Research in Biomedical Sci","BMS 401","BMS 401","1680","","","BMS-401","","16521.0","","0.0","4.0","false","","false"
"BMS 405: Nerve&Muscle-Toxins,Trauma&Dis","BMS 405","BMS 405","1680","","","BMS-405","","2233.0","","3.0","","false","","false"
"BMS 409: Human/Animal Reproductive Bio","BMS 409","BMS 409","1680","","","BMS-409","","2760.0","","3.0","","false","","false"
"BMS 420: Cardiopulmonary Physiology","BMS 420","BMS 420","1680","","","BMS-420","","5941.0","","3.0","","false","","false"
"BMS 421: Cardiopulmonary Diseases","BMS 421","BMS 421","1680","","","BMS-421","","4654.0","","0.0","2.0","false","","false"
"BMS 425: Systems Neurobiology","BMS 425","BMS 425","1680","","","BMS-425","","4667.0","","3.0","","false","","false"
"BMS 430: Endocrinology","BMS 430","BMS 430","1680","","","BMS-430","","5942.0","","3.0","","false","","false"
"BMS 450: Pharmacology","BMS 450","BMS 450","1680","","","BMS-450","","5943.0","","3.0","","false","","false"
"BMS 460: Essentials of Pathophysiology","BMS 460","BMS 460","1680","","","BMS-460","","5944.0","","3.0","","false","","false"
"BMS 461: Pathophysiology Perspectives","BMS 461","BMS 461","1680","","","BMS-461","","4530.0","","2.0","","false","","false"
"BMS 487: Internship","BMS 487","BMS 487","1680","","","BMS-487","","7869.0","","1.0","6.0","false","","false"
"BMS 495: Independent Study","BMS 495","BMS 495","1680","","","BMS-495","","5946.0","","1.0","18.0","false","","false"
"BMS 496A: Honors: Hum Gross Anatomy","BMS 496A","BMS 496A","1680","","","BMS-496A","","4731.0","","1.0","3.0","false","","false"
"BMS 496B: Honors:Physiology Lab","BMS 496B","BMS 496B","1680","","","BMS-496B","","4732.0","","1.0","3.0","false","","false"
"BMS 496D: Animal Gross Anatomy","BMS 496D","BMS 496D","1680","","","BMS-496D","","12426.0","","1.0","3.0","false","","false"
"BMS 498: Research","BMS 498","BMS 498","1680","","","BMS-498","","7870.0","","1.0","3.0","false","","false"
"BMS 500: Mammalian Physiology I","BMS 500","BMS 500","1680","","","BMS-500","","5947.0","","4.0","","false","","false"
"BMS 501: Mammalian Physiology II","BMS 501","BMS 501","1680","","","BMS-501","","5948.0","","4.0","","false","","false"
"BMS 502: Readings-Cellular Neurobiology","BMS 502","BMS 502","1680","","","BMS-502","","28584.0","","1.0","","false","","false"
"BMS 503: Developmental Neurobiology","BMS 503","BMS 503","1680","","","BMS-503","","2750.0","","3.0","","false","","false"
"BMS 505: Neuronal Circuits-Sys-Behavior","BMS 505","BMS 505","1680","","","BMS-505","","2751.0","","3.0","","false","","false"
"BMS 521: Comp Reprod Physiology","BMS 521","BMS 521","1680","","","BMS-521","","4655.0","","3.0","","false","","false"
"BMS 531: Domestic Animal Dissection","BMS 531","BMS 531","1680","","","BMS-531","","5949.0","","3.0","","false","","false"
"BMS 540: Assisted Reprod Tech Lab I","BMS 540","BMS 540","1680","","","BMS-540","","22781.0","","0.0","3.0","false","","false"
"BMS 541: Assisted Reprod Tech Lab II","BMS 541","BMS 541","1680","","","BMS-541","","22802.0","","0.0","3.0","false","","false"
"BMS 545: Neuroanatomy","BMS 545","BMS 545","1680","","","BMS-545","","5950.0","","0.0","5.0","false","","false"
"BMS 575: Human Anatomy Dissection","BMS 575","BMS 575","1680","","","BMS-575","","5953.0","","4.0","","false","","false"
"BMS 610A: Managing a Career in Science","BMS 610A","BMS 610A","1680","","","BMS-610A","","5954.0","","1.0","","false","","false"
"BMS 619: Advanced Human Gross Anatomy","BMS 619","BMS 619","1680","","","BMS-619","","5956.0","","2.0","","false","","false"
"BMS 631: Mechanisms of Hormone Action","BMS 631","BMS 631","1680","","","BMS-631","","5959.0","","2.0","","false","","false"
"BMS 632: Metabolic Endocrinology","BMS 632","BMS 632","1680","","","BMS-632","","5960.0","","2.0","","false","","false"
"BMS 633: Domestic Animl Anat-Case Disc","BMS 633","BMS 633","1680","","","BMS-633","","5961.0","","2.0","","false","","false"
"BMS 642: Resrch Technq-Gametes&Embryos","BMS 642","BMS 642","1680","","","BMS-642","","5963.0","","1.0","","false","","false"
"BMS 643: Applied Andrology","BMS 643","BMS 643","1680","","","BMS-643","","20703.0","","0.0","2.0","false","","false"
"BMS 684: Supervised College Teaching","BMS 684","BMS 684","1680","","","BMS-684","","5977.0","","1.0","18.0","false","","false"
"BMS 695A: Ind Study:Developmentl Anatomy","BMS 695A","BMS 695A","1680","","","BMS-695A","","5979.0","","1.0","18.0","false","","false"
"BMS 695B: Ind Study: Microscopic Anatomy","BMS 695B","BMS 695B","1680","","","BMS-695B","","5980.0","","1.0","18.0","false","","false"
"BMS 695C: Independent Study:Neuroanatomy","BMS 695C","BMS 695C","1680","","","BMS-695C","","5981.0","","1.0","18.0","false","","false"
"BMS 695D: Ind Study:Radiographic Anatomy","BMS 695D","BMS 695D","1680","","","BMS-695D","","5982.0","","1.0","18.0","false","","false"
"BMS 695E: Indep Study: Surgical Anatomy","BMS 695E","BMS 695E","1680","","","BMS-695E","","5983.0","","1.0","18.0","false","","false"
"BMS 695F: Independnt Study:Gross Anatomy","BMS 695F","BMS 695F","1680","","","BMS-695F","","5984.0","","1.0","18.0","false","","false"
"BMS 696: Group Study-Neurosciences","BMS 696","BMS 696","1680","","","BMS-696","","5985.0","","1.0","3.0","false","","false"
"BMS 699: Thesis","BMS 699","BMS 699","1680","","","BMS-699","","5986.0","","1.0","18.0","false","","false"
"BMS 742: Ethics and Human Assist Repro","BMS 742","BMS 742","1680","","","BMS-742","","35941.0","","1.0","","false","","false"
"BMS 784: Supervised College Teaching","BMS 784","BMS 784","1680","","","BMS-784","","5988.0","","1.0","18.0","false","","false"
"BMS 792A: Seminar: Biomed Sciences","BMS 792A","BMS 792A","1680","","","BMS-792A","","5989.0","","1.0","5.0","false","","false"
"BMS 792B: Seminar: Neurophysiology","BMS 792B","BMS 792B","1680","","","BMS-792B","","5990.0","","1.0","5.0","false","","false"
"BMS 792C: Seminar: Reproduct Physiology","BMS 792C","BMS 792C","1680","","","BMS-792C","","5991.0","","1.0","5.0","false","","false"
"BMS 795A: Independnt Study:Endocrinology","BMS 795A","BMS 795A","1680","","","BMS-795A","","5992.0","","1.0","18.0","false","","false"
"BMS 795B: Independ Study:Neurophysiology","BMS 795B","BMS 795B","1680","","","BMS-795B","","5993.0","","1.0","18.0","false","","false"
"BMS 795C: Independ Study:Cell Physiology","BMS 795C","BMS 795C","1680","","","BMS-795C","","5994.0","","1.0","18.0","false","","false"
"BMS 795D: Indep Stu:Cardiopul Physiology","BMS 795D","BMS 795D","1680","","","BMS-795D","","5995.0","","1.0","18.0","false","","false"
"BMS 795E: Ind Stu:Reproductive Physiolgy","BMS 795E","BMS 795E","1680","","","BMS-795E","","5996.0","","1.0","18.0","false","","false"
"BMS 796A: Group Study: Neurophysiology","BMS 796A","BMS 796A","1680","","","BMS-796A","","5997.0","","1.0","18.0","false","","false"
"BMS 796B: Group Stu:Cardiopul Physiology","BMS 796B","BMS 796B","1680","","","BMS-796B","","5998.0","","1.0","18.0","false","","false"
"BMS 796C: Group Stu:Reproductv Physiolgy","BMS 796C","BMS 796C","1680","","","BMS-796C","","5999.0","","1.0","18.0","false","","false"
"BMS 799: Dissertation","BMS 799","BMS 799","1680","","","BMS-799","","6000.0","","1.0","18.0","false","","false"
"BSPM 201: Weed Management and Control","BSPM 201","BSPM 201","1177","","<p>This course is designed for working professionals in range or animal science, land managers or homeowners, those involved with the farming or ranching industries, those involved in the agriculture ""green"" industry including landscape and retail greenhouse sectors, county weed managers, county extension agents, and employees of lawn-care businesses.</p><p>Objectives for this course include:</p><ul><li>Be able to successfully identify weeds, through both picture guides and a dichotomous key (preferred).</li><li>Understand plant classification, reproduction and life cycles.</li><li>Know many of the harmful effects of undesired plants on humans, other plants, animals and the environment.</li><li>Understand what integrated weed management systems are, and provide examples of tools weed managers have and how to use them effectively and in concert.</li><li>Demonstrate proper herbicide use and safety (from application to disposal).</li><li>Successfully complete several sprayer calibration exercises.</li><li>Understand plant (weed) competition and why invasive weeds in the Western U.S. are important.</li></ul><p>Upon completion of this course, you will:</p><ul><li>Have the skills to use a plant identification key.</li><li>Know, based on your weed situation, how to provide both practical and defendable solutions.</li><li>Be able to develop a solid, long-term weed-management plan based on the course principles.</li><li>Exhibit proficiency in sprayer calibration.</li><li>Be able to apply the course information to your work or home setting.</li></ul>","BSPM-201","This course is designed for working professionals in range or animal science, land managers or homeowners, those involved with the farming or ranching industries, those involved in the agriculture ""green"" industry including landscape and retail greenhouse sectors, county weed managers, county Extension agents, and employees of lawn-care businesses.","177.0","","3.0","","false","","false"
"BSPM 308: Ecology and Mgmt. of Weeds","BSPM 308","BSPM 308","1177","","","BSPM-308","","183.0","","0.0","4.0","false","","false"
"BSPM 356A: Horticultural Entomology Intro","BSPM 356A","BSPM 356A","1177","","","BSPM-356A","","12981.0","","1.0","","false","","false"
"BSPM 356B: Hort Entomology Food Crops","BSPM 356B","BSPM 356B","1177","","","BSPM-356B","","12983.0","","1.0","","false","","false"
"BSPM 356C: Hort Entomology Lndscpe Plants","BSPM 356C","BSPM 356C","1177","","","BSPM-356C","","12984.0","","1.0","","false","","false"
"BSPM 462: Parasitology & Vector Biology","BSPM 462","BSPM 462","1177","","","BSPM-462","","196.0","","0.0","5.0","false","","false"
"BSPM 492: Seminar","BSPM 492","BSPM 492","1177","","","BSPM-492","","198.0","","1.0","3.0","false","","false"
"BSPM 528: Invasive Plants & Weeds","BSPM 528","BSPM 528","1177","","","BSPM-528","","217.0","","3.0","","false","","false"
"BSPM 530: Scientific Writing","BSPM 530","BSPM 530","1177","","","BSPM-530","","2902.0","","1.0","","false","","false"
"BSPM 740: Plant Molecular Genetics","BSPM 740","BSPM 740","1177","","","BSPM-740","","232.0","","3.0","","false","","false"
"BUS 150: Bus Computing Concepts & Apps","BUS 150","BUS 150","1201","","<p>This course is designed to improve core business computer skills for 21st century academic and business applications. Advancing beyond simple proficiency, the BUS150 curriculum familiarizes students with some of the most powerful and popular computer tools used daily at universities, businesses, non-profits and government agencies around the world:</p><p>• MS Word 2021/365 Business</p><p>• MS Excel 2021/365 Business</p><p>• MS PowerPoint 2021/365 Business</p><p>Students will also learn to take full advantage of the Microsoft Windows operating system, understanding personal cybersecurity and effectively utilize an array of internet resources for online communication and research.</p><p>The course combines online components with hands-on skill development exercises including the creation of a short business presentation utilizing all of the skills learned during the session going from concept to real life application.</p>","BUS-150","This course is designed to improve core computer skills for 21st century academic and business applications.","652.0","","3.0","","false","","false"
"BUS 220: Ethics in Contemporary Orgs.","BUS 220","BUS 220","1201","","<p>Examination and application of the ethical principles that are fundamental to managing a successful high-integrity business or organization.</p>","BUS-220","Examination and application of the ethical principles that are fundamental to managing a successful high-integrity business or organization.","4343.0","","3.0","","false","","false"
"BUS 260: Bus Soc/Eth/Regulatory Issues","BUS 260","BUS 260","1272","","","BUS-260","","147.0","","3.0","","false","","false"
"BUS 300: Business Writing/Communication","BUS 300","BUS 300","1201","","","BUS-300","","2073.0","","3.0","","false","","false"
"BUS 405A: Contmp Bus Topics-Entrepreneur","BUS 405A","BUS 405A","1201","","<p>This course is an integrative capstone course dealing with the processes, methods and steps involved in starting and growing small to mid-size business ventures with special emphasis on new venture creation, social entrepreneurship, and corporate entrepreneurship. Prior business courses encouraged students to focus solely on one of the functional areas (e.g. marketing, finance, accounting) and to view problems in terms of that one discipline. In BUS 405A, your view of the organization is from the perspective of the entrepreneur or top executive and requires you to consider the entire organization.</p><p>This course begins at the macro level exploring the impact of entrepreneurship on the economy and progresses to the micro level exploring the individual entrepreneur and new venture creation. Students will develop a greater self-awareness of their fit with entrepreneurial environments and learn the processes of opportunity identification, resource analyses, strategic entry, and opportunity assessment. This will be accomplished through a combination of readings and exercises designed to convey the unique environment of entrepreneurship and new venture creation.</p>","BUS-405A","This course is an integrative capstone course dealing with the processes, methods and steps involved in starting and growing small to mid-size business ventures with special emphasis on new venture creation, social entrepreneurship, and corporate entrepreneurship.","6691.0","","3.0","","false","","false"
"BUS 500: Business Systems and Processes","BUS 500","BUS 500","1201","","<span style=""color: #000000; font-family: 'Segoe UI', 'Segoe UI Web (West European)', 'Segoe UI', -apple-system, BlinkMacSystemFont, Roboto, 'Helvetica Neue', sans-serif; font-size: 15px; font-style: normal; font-variant-ligatures: normal; font-variant-caps: normal; font-weight: 400; letter-spacing: normal; orphans: 2; text-align: start; text-indent: 0px; text-transform: none; widows: 2; word-spacing: 0px; -webkit-text-stroke-width: 0px; white-space: normal; background-color: #ffffff; text-decoration-thickness: initial; text-decoration-style: initial; text-decoration-color: initial; display: inline !important; float: none;"">BUS 500 offers a comprehensive introduction to graduate-level business studies, emphasizing key areas such as business strategy, organizational effectiveness, economic frameworks, and the crucial role of enterprises in generating societal and economic value. The course equips students with a foundational understanding of the core processes, systems, and structures that empower businesses to deliver value to society while also securing economic benefits for sustainability. Participants will gain familiarity with essential business terminology, functions, and strategic principles. A primary objective of this course is to cultivate strategic thinking skills and to foster an appreciation for the cohesive integration of various business disciplines essential for effective organizational leadership.</span>","BUS-500","BUS 500 offers a comprehensive introduction to graduate-level business studies, emphasizing key areas such as business strategy, organizational effectiveness, economic frameworks, and the crucial role of enterprises in generating societal and economic value.","3041.0","","2.0","","false","","false"
"BUS 501: Business Comm-Multicultural","BUS 501","BUS 501","1201","","","BUS-501","","18222.0","","3.0","","false","","false"
"BUS 515: Career Management & Placement","BUS 515","BUS 515","1201","","<p>Tools to create a career strategy and personal brand.</p><p>This course was previously listed as BUS690A. Students cannot count this course twice toward their MBA electives.</p>","BUS-515","Tools to create a career strategy and personal brand.","1880.0","","1.0","","false","","false"
"BUS 615: Accounting Systems","BUS 615","BUS 615","1201","","<p>This course focuses on the use of accounting information for purposes of management decision making, planning, and control.</p>","BUS-615","Use of accounting information for purposes of management decision-making, planning, and control.","155.0","","4.0","","false","","false"
"BUS 616: Financial Rptg and Analysis","BUS 616","BUS 616","1201","","<p>Tools and techniques for assessing and predicting the financial condition of the firm, including statement construction, performance evaluation, forecasting and shareholder value analysis.</p>","BUS-616","Tools and techniques for analysis of financial reports of public companies.","5381.0","","2.0","","false","","false"
"BUS 620: Leadership, Ethics, Motivation","BUS 620","BUS 620","1201","","<p>In this course, you will build both your understanding of leadership and your capacity to lead. You will learn cutting edge leadership and teamwork practices suited to deal with the dilemmas and complexities of organizations and establish your personal leadership philosophy in grounded research and real-life case examples.</p>","BUS-620","Ethical leadership and team dynamics; basic models of motivation utilized by leaders.","5382.0","","2.0","","false","","false"
"BUS 626: Managing Human Capital","BUS 626","BUS 626","1201","","<p>This course is designed to teach the direct relationship between corporate financial results and business management practices that treat people as assets. Studies include the interplay between progressive leadership behaviors, effective communication practices and well-orchestrated HR policies. Emphasis is placed on understanding corporate culture and creating congruent and reinforcing management systems.</p>","BUS-626","Management of human capital for competitive advantage and superior results.","2118.0","","2.0","","false","","false"
"BUS 630: Information Management","BUS 630","BUS 630","1201","","<p>This course covers the roles and values of information in business functions; risks and rewards of enterprise information; and the fundamentals of information storage and retrieval.</p>","BUS-630","Role and value of information in business functions; risks and rewards of enterprise information; fundamentals of information storage and retrieval.","5385.0","","2.0","","false","","false"
"BUS 640: Financial Princ & Practice","BUS 640","BUS 640","1201","","<p>Basic principles and practices of financial management in corporate decision making, including problem solving techniques.</p>","BUS-640","Financial environment; tools and techniques of corporate financial decision making.","160.0","","2.0","","false","","false"
"BUS 641: Financial Markets & Investmnts","BUS 641","BUS 641","1201","","Introduction to financial markets, techniques for security valuation, and portfolio management.","BUS-641","Introduction to financial markets, techniques for security valuation, and portfolio management.","161.0","","2.0","","false","","false"
"BUS 650: Supply Chain Management","BUS 650","BUS 650","1201","","<p>This course provides an overview of the principles of value-driven supply chain. Also, covers the design and management of supply chains, and supply chain software and applications.</p>","BUS-650","Value-driven supply chain principles, design and management of supply chains, and supply chain management software and applications.","163.0","","2.0","","false","","false"
"BUS 655: Marketing Management","BUS 655","BUS 655","1201","","<p>Examines processes of customer value creation (e.g., product development, communications, distribution) and value capture (e.g. pricing).</p>","BUS-655","Examines processes of customer value creation (e.g., product development, communications, distribution) and value capture (e.g. pricing).","164.0","","2.0","","false","","false"
"BUS 656: Marketing Strategy & Planning","BUS 656","BUS 656","1201","","<p>Basic marketing strategy analysis, formulation, evaluation and implementation concepts and tools.</p>","BUS-656","Basic marketing strategy analysis, formulation, evaluation and implementation concepts and tools.","165.0","","2.0","","false","","false"
"BUS 660: Ethical and Legal Issues","BUS 660","BUS 660","1201","","<p>This course covers the legal, regulatory, societal, and ethical issues encountered by business professionals as well as the analytical skills for making judgments.</p>","BUS-660","Legal, regulatory, societal and ethical issues encountered by business professionals; analytical skills for making judgments.","166.0","","2.0","","false","","false"
"BUS 686: Practicum","BUS 686","BUS 686","1275","","","BUS-686","","8033.0","","1.0","18.0","false","","false"
"BUS 687: Internship","BUS 687","BUS 687","1275","","","BUS-687","","8034.0","","1.0","18.0","false","","false"
"BUS 690A: Wkshp-Contemp Issues-MBA Prog","BUS 690A","BUS 690A","1201","","Join the CSU College of Business for an exclusive educational opportunity designed for MBA students to explore contemporary business issues through visits to a cross-section of companies in the greater Los Angeles area. Students will engage in company tours, receive presentations from senior executives, and participate in discussions on critical business topics such as the economic climate's impact on business, the role of AI and machine learning, innovation strategies, supply chain dynamics, and the importance of ESG in Business for a Better World. The program culminates with each student writing an analytical paper on one of the discussed topics, combining theoretical knowledge with practical insights gathered during our visits. This immersive experience is tailored to bridge the gap between academic theories and real-world business applications, preparing students for advanced leadership roles.","BUS-690A","Current issues in business, featuring business and community leaders.","969.0","","1.0","6.0","false","","false"
"BUS 690C: Wrkshp-Contemporary Issues-CIS","BUS 690C","BUS 690C","1201","","","BUS-690C","","670.0","","1.0","6.0","false","","false"
"BUS 690G: Wrkshp-Contemp Issues-Govt","BUS 690G","BUS 690G","1201","","<p>Current issues in business, featuring business and community leaders.This course is a part of the Certificate in Federal Financial Management</p>","BUS-690G","Current issues in business, featuring business and community leaders. Course is a part of the Certificate in Federal Financial Management","674.0","","1.0","6.0","false","","false"
"BUS 695: Independent Study","BUS 695","BUS 695","1275","","","BUS-695","","171.0","","1.0","18.0","false","","false"
"BUS 696: Group Study","BUS 696","BUS 696","1275","","<p>Written consent of instructor.</p>","BUS-696","Written consent of instructor.","8035.0","","1.0","18.0","false","","false"
"BUS 699: Thesis","BUS 699","BUS 699","1275","","","BUS-699","","172.0","","1.0","18.0","false","","false"
"BZ 105: Basic Concepts-Plant Life Lab","BZ 105","BZ 105","1878","","","BZ-105","","6009.0","","1.0","","false","","false"
"BZ 300: Animal Behavior","BZ 300","BZ 300","1878","","","BZ-300","","6017.0","","3.0","","false","","false"
"BZ 325: Plant Systematics","BZ 325","BZ 325","1878","","","BZ-325","","6040.0","","0.0","4.0","false","","false"
"BZ 381A3: Viral Engineering","BZ 381A3","BZ 381A3","1878","","","BZ-381A3","","38516.0","","2.0","","false","","false"
"BZ 420: Evolutionary Medicine","BZ 420","BZ 420","1878","","<p>Integration of evolutionary biology with behavior, genetics, and ecology to understand health and disease. Exploration of insights into medical research and practice (diagnosis and therapy) and human health from an evolutionary standpoint. Fundamentals of evolution, and the importance of evolutionary biology in understanding the ultimate and proximate causes of human disease. Engage in scientific discourse. Sophomore standing.</p>","BZ-420","Integration of evolutionary biology with behavior, genetics, and ecology to understand health and disease. Exploration of insights into medical research and practice (diagnosis and therapy) and human health from an evolutionary standpoint. Fundamentals of evolution, and the importance of evolutionary biology in understanding the ultimate and proximate causes of human disease.","2897.0","","3.0","","false","","false"
"BZ 425: Molecular Ecology","BZ 425","BZ 425","1878","","","BZ-425","","3341.0","","3.0","","false","","false"
"BZ 430: Anim. Behavior & Conservation","BZ 430","BZ 430","1878","","","BZ-430","","5118.0","","0.0","4.0","false","","false"
"BZ 440: Plant Physiology","BZ 440","BZ 440","1878","","<p>Functions and activities of plants.</p>","BZ-440","Functions and activities of plants.","6056.0","","3.0","","false","","false"
"BZ 450: Plant Ecology","BZ 450","BZ 450","1878","","","BZ-450","","6058.0","","0.0","4.0","false","","false"
"BZ 462: Parasitology & Vector Biology","BZ 462","BZ 462","1878","","","BZ-462","","6060.0","","0.0","5.0","false","","false"
"BZ 530: Ecological Plant Morphology","BZ 530","BZ 530","1878","","","BZ-530","","6081.0","","2.0","","false","","false"
"BZ 565: NGS Platforms/Libraries","BZ 565","BZ 565","1878","","","BZ-565","","18422.0","","1.0","","false","","false"
"BZ 587A: Internship: General","BZ 587A","BZ 587A","1878","","","BZ-587A","","6094.0","","1.0","6.0","false","","false"
"BZ 594: Independent Study","BZ 594","BZ 594","1878","","","BZ-594","","6096.0","","1.0","3.0","false","","false"
"BZ 642: Plant Metabolism","BZ 642","BZ 642","1878","","","BZ-642","","6097.0","","3.0","","false","","false"
"CBE 101: Chemical & Biological Engr.","CBE 101","CBE 101","1370","","","CBE-101","","5661.0","","0.0","3.0","false","","false"
"CBE 101A: Introduction to CBE: Lecture","CBE 101A","CBE 101A","1370","","<p>Overview of fundamentals of chemical and biological engineering, including conservation and rate processes, transport phenomena, engineering design and problem solving, and applications. Complemented by CBE 101B for laboratory experience.</p>","CBE-101A","Overview of fundamentals of chemical and biological engineering, including conservation and rate processes, transport phenomena, engineering design and problem solving, and applications. Complemented by CBE 101B for laboratory experience.","30521.0","","2.0","","false","","false"
"CBE 101B: Introduction to CBE: Lab","CBE 101B","CBE 101B","1370","","","CBE-101B","","30522.0","","1.0","","false","","false"
"CBE 160: MATLAB for Chem and Biol Eng","CBE 160","CBE 160","1370","","<p>Introduction to MATLAB programming for Chemical and Biological Engineering applications.</p>","CBE-160","Introduction to MATLAB programming for Chemical and Biological Engineering applications.","12662.0","","1.0","","false","","false"
