"hed__School_Code__c","Name","Parent.hed__School_Code__c","csuoee__Type__c","csuoee__Program_Friendly_Name__c","csuoee__Program_Level__c","csuoee__Program_Cost__c","csuoee__Fall_Application_Deadline__c","csuoee__Spring_Application_Deadline__c","csuoee__Summer_Application_Deadline__c","csuoee__Unit_Type__c"
"ARTM-SCLZ-BF","BFA Art/Sculpture","1770","","","UG","","","","",""
"NRTM-GLTZ-BS","BS Natural Resource Tourism/Global Tourism","1480","","","UG","","","","",""
"HCDF-DD-CT","CT Human-Centered Design Thinking","1501","","","GR","","","","",""
"USJC","Exp St: Journ & Comm Int","1001","","","UG","","","","",""
"EVHL-OESZ-MS","MS Environmental Health/OESZ","1681","","","GR","","","","",""
"HDFS-PVSZ-MS","MS Human Development and Family Studies/Prevention Science","1570","","","GR","","","","",""
"ENGL-LANZ-BA","English/Language","1773","","","UG","","","","",""
"SPMG-BDZ-MSM","MSM Sport Management/Business Foundations","1701","","","GR","","","","",""
"ENHR-NALZ-BS","BS Environmental Horticulture/Nursery and Landscape Management","1173","","","UG","","","","",""
"AGBU-FSSZ-BS","BS Agricultural Business/Food Systems","1172","","","UG","","","","",""
"AGBI-ENTZ-BS","BS Agricultural Biology/Entomology","1177","","","UG","","","","",""
"PHIL-GPRZ-BA","BA Philosophy/Global Philosophies and Religions","1781","","","UG","","","","",""
"PSYC-ADCZ-BS","Psychology/Addictions Counseling","1876","","","UG","","","","",""
"FACS-FCSZ-BS","BS Family and Consumer Sciences/Family & Consumer Science Education","1588","","","UG","","","","",""
"ENGR-SYEZ-ME","ME Engineering/SYEZ","1301","Degree","","GR","","","","","Credit"
"DRVM-DVM","DVM Doctor of Veterinary Medicine","1601","","","PR","","","","",""
"DRVM-AN-DVM","Doctor of Veterinary Medicine","1601","","","PR","","","","",""
"DRVM-AK-DVM","DVM Doctor of Veterinary Medicine","1601","","","PR","","","","",""
"HDNR-PHD","PhD Human Dimensions of Nt Res","1480","","","GR","","","","",""
"WGST-BA","BA Women's and Gender Studies","1790","","","UG","","","","",""
"MUSC-MUEZ-MM","MM Music/MUEZ","1778","","","GR","","","","",""
"BIOM-BS","Biomedical Sciences","1680","Degree","","UG","","","","","Credit"
"AREC-MS","MS Agricultural & Resource Economics","1172","","","GR","","","","",""
"SOWK-MSW","MSW Social Work","1586","","","GR","","","","",""
"GEOL-GPYZ-BS","Geology/Geophysics","1482","Degree","","UG","","","","","Credit"
"AGED-BS","BS Agricultural Education","1172","","","UG","","","","","Credit"
"CMST-DD-BA","BA Communication Studies","1783","Degree","","UG","","","","","Credit"
"DSCI-BS","BS Data Science","1801","Degree","","UG","","","","","Credit"
"BENR-MS","MS Bioengineering","1376","","","GR","","","","",""
"CHEG-PHD","PhD Chemical Engineering","1370","","","GR","","","","",""
"LLAC-LFRZ-BA","BA Languages, Literatures, and Cultures/French","1774","","","UG","","","","",""
"BIAG-PHD","PhD Bioagricultural Sciences","1177","","","GR","","","","",""
"LLAC-LSPZ-BA","BA Languages, Literatures, and Cultures/Spanish","1774","","","UG","","","","",""
"NAFS-PHNZ-BS","BS Nutrition and Food Science/Pre-Health Nutrition","1571","Degree","","UG","","","","","Credit"
"CHEM-HSCZ-BS","BS Chemistry/Health Sciences","1872","Degree","","UG","","","","","Credit"
"BIAG-ENTZ-MS","MS Bioagricultural Sciences/Entomology","1177","","","GR","","","","",""
"EHRS-HEZ-PHD","Education and Human Resource Studies/Higher Education Leadership","","","","GR","","","","",""
"ARTM-POTZ-BF","BFA Art/Pottery","1770","","","UG","","","","",""
"ARTM-PHIZ-BF","BFA Art/Photo Image Making","1770","","","UG","","","","",""
"NSCI-BZ-MPSM","MPSM Natural Sciences/Biological Data Analytics","1801","","","GR","","","","",""
"AGED-TDLZ-BS","BS Agricultural Education/Teacher Development","1172","","","UG","","","","",""
"OGLF-DD-CT","CT Organizational Leadership","1201","","","GR","","","","",""
"ECSU-MS","MS Ecosystem Sustainability","1476","","","GR","","","","",""
"DSCI-ECNZ-BS","BS Data Science/Economics","1801","","","UG","","","","",""
"RESC-MS","MS Rangeland Ecosystem Science","1472","","","GR","","","","",""
"NAFS-FSNZ-BS","Nutrition and Food Science/Food Safety and Nutrition","","","","UG","","","","",""
"DANC-DEDZ-BF","BFA Dance/Dance Education","1778","","","UG","","","","",""
"FSAN-FDZ-PHD","PhD Food Sci Nutrition/FDSZ","1571","","","GR","","","","",""
"ETST-SOTZ-BA","Ethnic Studies/Social Studies Teaching","1790","","","UG","","","","",""
"WSSS-BS","BS Watershed Science and Sustainability","1476","","","UG","","","","",""
"WSSS-WSUZ-BS","Watershed Science and Sustainability/Watershed Sustainability","1476","","","UG","","","","",""
"THTR-LDTZ-BA","BA Theatre/Lighting Design and Technology","1778","","","UG","","","","",""
"ENGR-MECZ-ME","ME Engineering/MECZ","1301","","","GR","","","","",""
"MAST-SSZ-MAS","MAS Applied Stats/SSCZ","1877","","","GR","","","","",""
"CMST-MA","MA Communication Studies","1783","","","GR","","","","",""
"PCAT-PHD","PhD Public Communication and Technology","1785","","","GR","","","","",""
"SYEF-CT","Systems Engineering Practice","1377","","","GR","","","","",""
"ENRE-DD-BS","BS Env & Natural Resrce Econ D","1172","","","UG","","","","",""
"BLSC-BS","Biological Science","1878","","","UG","","","","",""
"INST-BA","BA International Studies","1701","","","UG","","","","",""
"MATH-BS","Mathematics","1874","","","UG","","","","",""
"PSYC-BS","BS Psychology","1876","","","UG","","","","",""
"EHRS-AEZ-MED","MEd Education and Human Resource Studies/Adult Education and Training","1588","","","GR","","","","",""
"SOCR-DSAZ-BS","BS Soil and Crop Sciences/Sustainable Agricultural Management","1170","","","UG","","","","",""
"NSCI-CHEZ-BS","Natural Sciences/Chemistry Education","1801","","","UG","","","","",""
"NSCI-BLEZ-BS","BS Natural Sciences/Biology Education","1801","","","UG","","","","",""
"NSCI-PHEZ-BS","Natural Sciences/Physics Education","1801","","","UG","","","","",""
"SOCR-SAMZ-BS","BS Soil and Crop Sciences/Sustainable Agricultural Management","1170","","","UG","","","","",""
"RDHL-HLPZ-MS","MS Radiological Health/Health Physics","1681","","","GR","","","","",""
"RDHL-MS","MS Radiological Health","1681","","","GR","","","","",""
"ENLD-MS","Environmental Leadership","1480","","","GR","","","","",""
"THTR-CDTZ-BA","BA Theatre/Costume Design and Technology","1778","","","UG","","","","",""
"EGIS-BS","Engineering Science and BA International Studies","1301","","","UG","","","","",""
"HDFS-DLAZ-BS","Human Development and Family Studies/Leadership and Advocacy","1570","","","UG","","","","",""
"THR0","Pre-Theatre","1778","","","UG","","","","",""
"PHYS-APPZ-BS","BS Physics/Applied Physics","1875","","","UG","","","","",""
"ENHR-TURZ-BS","Environmental Horticulture/Turf Management","1173","","","UG","","","","",""
"DRVM-BX-DVM","Doctor of Veterinary Medicine","","","","PR","","","","",""
"BIAG-WEZ-PHD","PhD Bioagricultural Sci/WEEZ","1177","","","GR","","","","",""
"CPSC-DNSZ-BS","Computer Science/Networks and Security","1873","","","UG","","","","",""
"EINF-DD-CT","CT Entrepreneurship and Innovation","1201","","","GR","","","","",""
"CAMB-MS","MS Cell and Molecular Biology","1055","","","GR","","","","",""
"CHEM-ACSZ-BS","Chemistry/ACS Certified","1872","","","UG","","","","",""
"PBPA-BZ-MPPA","MPPA Public Policy and Administration/Public Management","1782","","","GR","","","","",""
"DSCI-NEUZ-BS","BS Data Science/Neuroscience","1801","","","UG","","","","",""
"PBPA-NZ-MPPA","MPPA Public Policy and Administration/International Policy and Management","1782","","","GR","","","","",""
"INST-EUSZ-BA","BA International Studies/European Studies","1701","","","UG","","","","",""
"BCHM-PPHZ-BS","Biochemistry/Pre-Pharmacy","","","","UG","","","","",""
"ENGL-WRHZ-MA","MA English/WRHZ","1773","","","GR","","","","",""
"EHRS-ESZ-PHD","Education and Human Resource Studies/Education Sciences","","","","GR","","","","",""
"MAST-DDZ-MAS","MAS Applied Stats/DSCZ D","1877","","","GR","","","","",""
"ARTM-BFA","Art","","","","UG","","","","",""
"FSAN-NTZ-PHD","PhD Food Sci Nutrition/NTRZ","1571","","","GR","","","","",""
"EVHL-PHD","PhD Environmental Health","1681","","","GR","","","","",""
"EVHL-IDHZ-MS","MS Environmental Health/Industrial Hygiene","1681","","","GR","","","","",""
"LLAC-BA","BA Languages, Literatures, and Cultures","1774","","","UG","","","","",""
"LLAC-SPPZ-BA","BA Languages, Literatures, and Cultures/Spanish for the Professions","1774","","","UG","","","","",""
"BIAG-MS","MS Bioagricultural Sciences","1177","","","GR","","","","",""
"EHRS-OLZ-PHD","Education and Human Resource Studies/Organizational Learning, Performance & Change","","","","GR","","","","",""
"FSAN-FDSZ-MS","MS Food Sci and Nutrition/FDSZ","1571","","","GR","","","","",""
"PHYS-MS","Physics","","","","GR","","","","",""
"AGBI-PLPZ-BS","Agricultural Biology/Plant Pathology","1177","Degree","","UG","","","","","Credit"
"HIST-LNGZ-BA","BA History/Language","1776","","","UG","","","","",""
"HHHF-DD-CT","CT Horticulture and Human Health","1173","","","GR","","","","",""
"MUSC-CHCZ-MM","MM Music/Choral Conducting","1778","","MM Music Choral Conducting","GR","","","","",""
"CPEG-PHD","PHD Computer Engineering","1373","","","GR","","","","",""
"THTR-GTRZ-BA","Theatre/General Theatre","","","","UG","","","","",""
"ENGR-ASEZ-ME","ME Engineering/Aerospace Engineering","1301","","","GR","","","","",""
"ENGR-DMFZ-ME","ME Engineering/AMFZ Dist","1301","","","GR","","","","",""
"SOCR-SOEZ-BS","Soil and Crop Sciences/Soil Ecology","","","","UG","","","","",""
"FCST-UG","Faculty-Staff/Undergraduate","1001","Degree","","UG","","","","","Credit"
"BCHM-GBCZ-BS","Biochemistry/General Biochemistry","","","","UG","","","","",""
"CSUR","CSU Ready for High School","1001","","","UG","","","","",""
"ETST-RPRZ-BA","Ethnic Studies/Global Race, Power, and Resistance","","","","UG","","","","",""
"BINF-CT","CT Business Intelligence","1277","","","GR","","","","",""
"ANTH-PMTZ-MA","MA Anthropology/PMTZ","1787","","","GR","","","","",""
"NSCI-DZ-MPSM","MPSM Natural Sciences/Zoo, Aquarium, and Animal Shelter Management","1801","","","GR","","","","",""
"CPSC-DHCZ-BS","Computer Science/Human-Centered Computing","","","","UG","","","","",""
"NAFS-FSCZ-BS","BS Nutrition and Food Science/Food Science","1571","","","UG","","","","",""
"DRVM-PA-DVM","Doctor of Veterinary Medicine","","","","PR","","","","",""
"OCTH-MOT","Master of Occupational Therapy","","","","GR","","","","",""
"RGMF-CT","Theory and Applications of Regression Models","","","","GR","","","","",""
"AMGF-DD-CT","CT Arts Management","1725","","","GR","","","","",""
"CHEM-MS","MS Chemistry","1872","","","GR","","","","",""
"GUES-CEGR","GUEST/Graduate","1001","Degree","","GR","","","","","Credit"
"CHEM-SCHZ-BS","BS Chemistry/Sustainable Chemistry","1872","","","UG","","","","",""
"ESSS-MPSM","MPSM Ecosystem Science and Sustainability","1476","","","GR","","","","",""
"MICR-BS","Microbiology","","","","UG","","","","",""
"MATH-CPMZ-BS","Mathematics/Computational Mathematics","","","","UG","","","","",""
"AMNF-DD-CT","CT Advanced Manufacturing","1374","","","GR","","","","",""
"SOCR-ISCZ-BS","Soil and Crop Sciences/International Soil and Crop Science","","","","UG","","","","",""
"ELEG-LOEZ-BS","BS Electrical Engineering/Lasers & Optical Engineering","1373","","","UG","","","","",""
"CFNF-DD-CT","CT Corporate Finance","1272","","","GR","","","","",""
"BTEF-DD-CT","CT Biomaterials and Tissue Engineering","1376","","","GR","","","","",""
"ETST-BA","BA Ethnic Studies","1790","","","UG","","","","",""
"ENGR-CHGZ-ME","ME Engineering/Chemical Engineering","1301","","","GR","","","","",""
"","Master of Advanced Practice in Dietetics (MAPD)","","Degree","Advanced Practice in Dietetics","GR","","","","","Credit"
"AEGF-DD-CT","CT Aerospace Engineering","1374","","","GR","","","","",""
"EVHL-EPIZ-MS","MS Environmental Health/EPIZ","1681","","","GR","","","","",""
"DTAF-CT","CT Data Analysis","1877","","","GR","","","","",""
"EVHL-ERZ-PHD","Environmental Health/Ergonomics","","","","GR","","","","",""
"WRSC-MS","MS Watershed Science","1476","","","GR","","","","",""
"FRRS-FRBZ-BS","BS Forest and Rangeland Stewardship/Forest Biology","1472","","","UG","","","","",""
"GRAD-UG","Post Graduation Term/Undergraduate","","","","UG","","","","",""
"WSSS-WSDZ-BS","Watershed Science and Sustainability/Watershed Data","1476","","","UG","","","","",""
"RESC-PHD","PhD Rangeland Ecosystem Sci","1472","","","GR","","","","",""
"MUTH-DD-PHD","PhD Music Therapy Distance","1778","","","GR","","","","",""
"CAAF-DD-CT","Conservation Actions with Lands, Animals, and People","1474","","","GR","","","","",""
"HIST-LBAZ-MA","MA History/LBAZ","1776","","","GR","","","","",""
"CAMB-VM-PHD","Cell and Molecular Biology","1055","","","GR","","","","",""
"ANTH-IDVZ-MA","MA Anthropology-IDVZ","1787","","","GR","","","","",""
"APCT-CPTZ-BS","Applied Computer Technology/Computing Technology","1873","","","UG","","","","",""
"CBMF-CT","CT Carbon Management","1476","","","GR","","","","",""
"SOWK-SPH-MSW","MSW Social Work","1586","","","GR","","","","",""
"N2IS-GR","Bridge - Computer Information Systems","1024","","","GR","","","","",""
"ASRF-DD-CT","CT Aerospace: Satellites, Radars and Remote Sensing","1373","","","GR","","","","",""
"BIAG-WEEZ-MS","MS Bioagricultural Sci/WEEZ","1177","","","GR","","","","",""
"DNC0","Pre-Dance","1778","","","UG","","","","",""
"WRSC-BS","Watershed Science","1476","","","UG","","","","",""
"ENGR-EEGZ-ME","ME Engineering/Electrical Engineering","1301","","","GR","","","","",""
"MUS0","Pre-Music","1778","","","UG","","","","",""
"HYDF-DD-CT","CT Hydraulic Design","1372","","","GR","","","","",""
"CLSC-DVM-PHD","Clinical Sciences","1678","","","GR","","","","",""
"EHRS-ESZ-MED","MEd Education and Human Resource Studies/Education Sciences","1588","","","GR","","","","",""
"SSBF-DD-CT","CT Sustainable Business","1201","","","GR","","","","",""
"ENHR-BS","BS Environmental Horticulture","1173","","","UG","","","","",""
"EHRS-TLZ-MED","MEd Education and Human Resource Studies/Teacher Licensure","1588","","","GR","","","","",""
"BMSC-DVM-PHD","Biomedical Sciences","","","","GR","","","","",""
"CPSC-CSEZ-BS","Computer Science/Computer Science Education","","","","UG","","","","",""
"ELEG-BS","Electrical Engineering","","","","UG","","","","",""
"HORT-FLOZ-BS","Horticulture/Floriculture","1173","","","UG","","","","",""
"EGSC-EGPZ-BS","Engineering Science/Engineering Physics","1301","","","UG","","","","",""
"ENGL-CNFZ-MA","English/Creative Nonfiction","1773","","","GR","","","","",""
"ACCY-SZ-MACC","Master of Accountancy/DSYZ","1271","","","GR","","","","",""
"BAPF-DD-CT","CT Business Application Development","1277","","","GR","","","","",""
"NSCI-GLEZ-BS","BS Natural Sciences/Geology Education","1801","","","UG","","","","",""
"THTR-PDTZ-BA","Theatre/Projection Design and Technology","","","","UG","","","","",""
"","Pesticide Applicator Training","","Other","Pesticide Applicator Training","NC","149.0","","","","Noncredit"
"GPID","Great Plains IDEA","1001","","","","","","","",""
"PCAT-MS","MS Public Communication and Technology","1785","","","","","","","",""
"","Beekeeping in the Mountain West","OEE","Certificate","Beekeeping","NC","299.0","","","","Noncredit"
"N2GN-SI","PLACE General English","1024","","","SI","","","","",""
"ACCY-TZ-MACC","MACC Master of Accountancy/Taxation","1271","","","","","","","",""
"EHRS-TDZ-MED","MEd Education and Human Resource Studies/Teacher Licensure","1588","","","","","","","",""
"SPCL-UG","Special/UG","1001","","","","","","","",""
"EHRS-LDZ-MED","MEd Educ & Hmn Rsrcs/ELKZ Dist","1588","","","","","","","",""
"ACCY-MACC","Master of Accountancy","1271","","","","","","","",""
"CSEF-CT","CT Computer Systems Engrg","1373","","","","","","","",""
"DEMD-MS","MS Design and Merchandising","1574","","","","","","","",""
"CSOR","CSU Online Dual Enrollment","1040","","","","","","","",""
"PPAM-DD-MPPM","MPPM Park and Protected Area Management","1480","","","","","","","",""
"MECH-ASU-BS","BS Mechanical Engineering","1374","","","","","","","",""
"SLLF-CT","CT Spanish Linguistics and Literary Studies","1774","","","","","","","",""
"INST-MEAZ-BA","BA International Studies/Middle East and North African Studies","1701","","","","","","","",""
"VIPS-UG","Visiting International Program Student/Undergraduate","1001","","","","","","","",""
"BIAG-DPMZ-MS","MS in Bioag Sci Pest Mgmt/PMGZ","1177","","","","","","","",""
"EVHL-OEZ-PHD","PHD Environmental Health/OESZ","1681","","","","","","","",""
"GSNF-CT","CT Apld Glbl Stbilty: Ntrl Res","1036","","","","","","","",""
"MUSC-MCMZ-MM","MM Music/MCMZ","1778","","","","","","","",""
"EVHL-MS","MS Environmental Health","1681","","","","","","","",""
"ANTH-AHWZ-MA","MA Anthropology/AHWZ","1787","","","","","","","",""
"SPHF-CT","CT Colorado School of Public Health Certificate","1001","","","","","","","",""
"AIMS","Aims Community College Exchange","1001","","","","","","","",""
"FWCB-MFWC","MFWC Fish, Wildlife, and Conservation Biology","1474","","","","","","","",""
"HDFS-BS","Human Development and Family Studies","1570","","","UG","","","","",""
"FRRS-RCMZ-BS","Forest and Rangeland Stewardship/Rangeland Conservation and Management","1472","","","UG","","","","",""
"SPCL-GR","Special/Graduate","","","","GR","","","","",""
"NAFS-NUSZ-BS","Nutrition and Food Science/Nutrition Sciences","","","","UG","","","","",""
"AGBI-WEEZ-BS","Agricultural Biology/Weed Science","","","","UG","","","","",""
"TSKG-UG","Tuskegee University Partnership","","","","UG","","","","",""
"RGEC-CRMZ-BS","Rangeland Ecology/Conservation and Management","","","","UG","","","","",""
"LDA0","Pre-Landscape Architecture","","","","UG","","","","",""
"UNLA","Undeclared Arts and Humanities/Communication/Design Interest","","","","UG","","","","",""
"UNEG","Undeclared Physical and Mathematical Sciences/Engineering Interest","","","","UG","","","","",""
"CIVE-CIVZ-BS","Civil Engineering/Civil Engineering","","","","UG","","","","",""
"MATH-STAZ-BS","Mathematics/Statistics","","","","UG","","","","",""
"LBAR-BA","Liberal Arts","","","","UG","","","","",""
"MGPR-MMP","Master of Management Practice","","","","GR","","","","",""
"UNLS","Undeclared Health/Life Sciences Interest","","","","UG","","","","",""
"HORT-VTEZ-BS","Horticulture/Viticulture and Enology","","","","UG","","","","",""
"UNBU","Undeclared Business/Applied Business Interest","","","","UG","","","","",""
"UNDL","Undeclared","","","","UG","","","","",""
"EHRS-DRZ-MED","Education and Human Resource Studies/Educational Leadership, Renewal, and Change","","","","GR","","","","",""
"CHEM-NACZ-BS","Chemistry/Non-ACS Certified","","","","UG","","","","",""
"JATC-BA","Journalism and Technical Communication","","","","UG","","","","",""
"NRRT-NRTZ-BS","Natural Resources Recreation and Tourism/Natural Resource Tourism","","","","UG","","","","",""
"EGSC-IEIZ-BS","Engineering Science/International Engineering & International Studies","","","","UG","","","","",""
"UNNR","Undeclared Environmental/Natural Resource Interest","","","","UG","","","","",""
"NAFS-DTCZ-BS","Nutrition and Food Science/Dietetics","","","","UG","","","","",""
"OCTH-MS","Occupational Therapy","","","","GR","","","","",""
"NRRT-EVCZ-BS","Natural Resources Recreation and Tourism/Environmental Communication","","","","UG","","","","",""
"THTR-BA","Theatre","","","","UG","","","","",""
"ARTI-BA","Art","","","","UG","","","","",""
"CAMB-BI-PHD","Cell and Molecular Biology","","","","GR","","","","",""
"NRRT-PPAZ-BS","Natural Resources Recreation and Tourism/Parks and Protected Area Management","","","","UG","","","","",""
"N2AE-AEXX-SI","PLACE\INTO CSU - Academic English","","","","SI","","","","",""
"NRRT-GLTZ-BS","Natural Resources Recreation and Tourism/Global Tourism","","","","UG","","","","",""
"SOCI-BA","Sociology","","","","UG","","","","",""
"FRST-BS","Forestry","","","","UG","","","","",""
"ENGR-EACZ-ME","Engineering/Electrical & Computer Engineering","","","","GR","","","","",""
"CIVE-SWRZ-BS","Civil Engineering/Soil and Water Resource Engineering","","","","UG","","","","",""
"EGSC-SPEZ-BS","Engineering Science/Space Engineering","","","","UG","","","","",""
"RGEC-RSEZ-BS","Rangeland Ecology/Restoration Ecology","","","","UG","","","","",""
"INTD-BS","Interior Design","","","","UG","","","","",""
"ECOL-BI-MS","Ecology","","","","GR","","","","",""
"ARTI-STDZ-BA","Art/Studio","","","","UG","","","","",""
"ENVE-ECOZ-BS","Environmental Engineering/Ecological Engineering","","","","UG","","","","",""
"LBAR-DD-BA","Liberal Arts","","","","UG","","","","",""
"MUSC-DD-MM","Music","","","","GR","","","","",""
"BUSA-CIDZ-MS","Business Administration/Computer Information Systems","","","","GR","","","","",""
"PRLI","Principal Licensure","","","","GR","","","","",""
"AGEC-NREZ-BS","Agricultural Economics/Natural Resource Economics","","","","UG","","","","",""
"AGEE-DD-MAEE","Master of Agricultural Extension Education","","","","GR","","","","",""
"APCT-CHFZ-BS","Applied Computing Technology/Computing and Human Factors","","","","UG","","","","",""
"BTNY-MS","Botany","","","","GR","","","","",""
"ENGL-MA","English","","","","GR","","","","",""
"ECOL-BP-MS","Ecology","","","","GR","","","","",""
"BUSA-CISZ-MS","Business Administration/Computer Information Systems","","","","GR","","","","",""
"EVHL-TOXZ-MS","Environmental Health/Toxicology","","","","GR","","","","",""
"EASC-WRZ-PHD","Earth Sciences/Watershed Science","","","","GR","","","","",""
"HORT-HTHZ-BS","Horticulture/Horticultural Therapy","","","","UG","","","","",""
"ETST-MA","Ethnic Studies","","","","GR","","","","",""
"BNGR-PHD","Bioengineering","","","","GR","","","","",""
"ECOL-AN-PHD","Ecology","","","","GR","","","","",""
"EHRS-LTZ-PHD","Education and Human Resource Studies/Learning, Teaching, and Culture","","","","GR","","","","",""
"EGSC-BS","Engineering Science","","","","UG","","","","",""
"ENVE-ENVZ-BS","Environmental Engineering/Environmental Engineering","","","","UG","","","","",""
"BNGR-CB-PHD","Bioengineering","","","","GR","","","","",""
"CAMB-BS-PHD","Cell and Molecular Biology","","","","GR","","","","",""
"ARTI-AREZ-BA","Art/Art Education","","","","UG","","","","",""
"EHRS-ITZ-PHD","Education and Human Resource Studies/Interdisciplinary Studies","","","","GR","","","","",""
"BUSA-DD-MS","Business Administration","","","","GR","","","","",""
"LLAC-LFRZ-MA","Languages, Literatures, and Cultures/French","","","","GR","","","","",""
"INT0","Pre-Interior Design","","","","UG","","","","",""
"BTNY-PHD","Botany","","","","GR","","","","",""
"LDAR-MLA","Landscape Architecture","","","","GR","","","","",""
"ENGL-WRIZ-BA","English/Writing","","","","UG","","","","",""
"EHRS-OPZ-PHD","Education and Human Resource Studies/Organizational Performance & Change","","","","GR","","","","",""
"N2BU-CISX-GR","INTO Pathways - Computer Information Systems","","","","GR","","","","",""
"TCLN-UG-FM","Teacher Licensure/non-admitted/UG- Family and Consumer Studies","","","","UG","","","","",""
"N2BU-FNRX-GR","INTO Pathways - Financial Risk Management","","","","GR","","","","",""
"ECOL-EA-PHD","Ecology","","","","GR","","","","",""
"CAMB-MI-PHD","Cell and Molecular Biology","","","","GR","","","","",""
"TCLN-UG-AR","Teacher Licensure/non-admitted/UG-Art","","","","UG","","","","",""
"STAT-DD-MS","Statistics","1877","","","GR","","","","",""
"FRST-FRFZ-BS","Forestry/Forest Fire Science","","","","UG","","","","",""
"ECOL-SO-PHD","Ecology","","","","GR","","","","",""
"ECOL-ES-PHD","Ecology","","","","GR","","","","",""
"AGSC-MAGR","Agricultural Sciences","","","","GR","","","","",""
"EHRS-DPZ-PHD","Education and Human Resource Studies/Organizational Performance & Change","","","","GR","","","","",""
"FACS-FACZ-BS","Family and Consumer Sciences/Family & Consumer Sciences","","","","UG","","","","",""
"ALDA-MALA","Master in Arts Leadership and Administration","","","","GR","","","","",""
"BNGR-EX-MS","Bioengineering","","","","GR","","","","",""
"EHRS-ERZ-PHD","Education and Human Resource Studies/Educational Leadership, Renewal, and Change","","","","GR","","","","",""
"ENHR-LNBZ-BS","Environmental Horticulture/Landscape Business","","","","UG","","","","",""
"","Accelerated Addictions Counseling","1876","","Addictions Counseling","","","","","",""
"CPSC-DSEZ-BS","Computer Science/Software Engineering","","","","UG","","","","",""
"HDFS-MS","Human Development and Family Studies","1570","","","GR","","","","",""
"ZOOL-PHD","Zoology","1878","Degree","Zoology Doctoral Degree","PHD","","","","","Credit"
"test-marcomm","Test Program Change","","Degree","Test Program - Marcomm Design","UG","","9/1","1/1","5/1","Credit"
"","Inclusive Teaching Strategies in College","","Certificate","","","","","","","Credit"
"","Landscape for Life","","Other","Landscape for Life","NC","","","","","Noncredit"
"","Arts Management B.A","1701","Degree","Arts Management","UG","","","","","Credit"
"","Materials Engineering Plan C","EG","Degree","","GR","","","","","Credit"
"HAES-EXSZ-BS","Health and Exercise Science/Exercise Science","","","","UG","","","","",""
"FAFS-FSIZ-BS","Fermentation and Food Science/Food Science","","","","UG","","","","",""
"NUTR-SNWZ-BS","Nutrition Science/Sports Nutrition and Wellness","","","","UG","","","","",""
"IARD-IADZ-BS","Interior Architecture and Design/Interior Architecture","","","","UG","","","","",""
"FAFS-FSTZ-BS","Fermentation and Food Science","","","","UG","","","","",""
"DRVM-CL-DVM","Doctor of Veterinary Medicine","","","","PR","","","","",""
"IARD-IPRZ-BS","Interior Architecture and Design/Interior Products and Retailing","","","","UG","","","","",""
"GRAD-GR","Post Graduation Term/Graduation","","","","GR","","","","",""
"NUTR-BS","Nutrition Science","","","","UG","","","","",""
"NUTR-DINZ-BS","Nutrition Science/Dietetics and Nutrition Management Concentration","","","","UG","","","","",""
"ANMG-VM-MS","Animal Sciences","","","","GR","","","","",""
"DRVM-CMB-DVM","Doctor of Veterinary Medicine","","","","PR","","","","",""
"FAFS-BS","Fermentation and Food Science","","","","UG","","","","",""
"DRVM-BS-DVM","Doctor of Veterinary Medicine","","","","PR","","","","",""
"NUTR-PHLZ-BS","Nutrition Science/Pre-Health Nutrition","","","","UG","","","","",""
"CPSC-CFCZ-BS","Computer Sciences/Computing for Creatives","","","","UG","","","","",""
"BUSA-SUSZ-BS","Business Administration/Sustainable Business","","","","UG","","","","",""
"EHRS-ELZ-MED","Education and Human Resource Studies/Educational Leadership with K-12 Principal Licensure","","","","GR","","","","",""
"BISF-CT","Business Information Systems","","","","GR","","","","",""
"MKMF-CT","Marketing Management","","","","GR","","","","",""
"CFNF-CT","Corporate Finance","","","","GR","","","","",""
"GSCF-CT","Global Supply Chain Management","","","","GR","","","","",""
"","Physical Asset Management","","Other","Physical Asset Management","NC","","","","","Noncredit"
"","Health Physics Exam Prep Courses","","Other","Health Physics Exam Prep Courses","NC","1700.0","","","","Noncredit"
"","Health Physics B.S","1601","Degree","Health Physics","UG","","6/1","11/1","5/1","Credit"
"CPSC-DCCZ-BS","BS Computer Science/Computing for Creatives","1873","","","","","","","",""
"DENF-DD-CT","CT Data Engineering","1373","","","","","","","",""
"","Human Systems Integration Graduate Certificate","1301","Certificate","Human Systems Integration","GR","1411.0","","","","Credit"
"","Model Based Systems Engineering Graduate Certificate","1301","Certificate","Model Based Systems Engineering","GR","10575.0","","","","Credit"
"","Systems Security Graduate Certificate","1301","Certificate","Systems Security","GR","10575.0","","","","Credit"
"","Spanish for the Veterinary Professional","LA","Certificate","Spanish for Vets","GR","","","","","Credit"
